企业名称,车辆型号,VIN,配置核查是否一致
郑州宇通重工有限公司,YTZ5080TXST0D6,LMR0C0KB5P1005674,是
郑州宇通重工有限公司,YTZ5080TXST0D6,LMR0C0KB7P1005675,是
郑州宇通重工有限公司,YT25071TDY20D6,TGDCPA1G7PA101163,是
郑州宇通重工有限公司,YTZ5080TXST0D6,LMR1F1ACXP1005679,是
郑州宇通重工有限公司,YTZ5080TXST0D6,LMR1F1AC8P1005678,是
郑州宇通重工有限公司,YTZ5080TXST0D6,LMR1F1AC6P1005677,是
郑州宇通重工有限公司,YIZ5180GQXT1D6,LMR1F1AC0P1005061,是
郑州宇通重工有限公司,YIZ5180ZYS20D6,LGAX3C137P8009528,是
郑州宇通重工有限公司,YTZ5180GQXT0D6,LMR1F1GC6P1000101,是
郑州宇通重工有限公司,YTZ5180TXSTOD6,LMR1F1AC8P1005521,是
郑州宇通重工有限公司,YTZ5180TXSTOD6,LMR1F2PC5P1004081,是
郑州宇通重工有限公司,YTZ5180GQXT1D6,LMR1E1AC4P1005516,是
郑州宇通重工有限公司,YT25031TYHKOP5,LSCABN2E2PE833094,是
郑州宇通重工有限公司,YTZ5180ZYS20D6,LGAX3C134P8009535,是
宇通客车股份有限公司,ZK6745DX62,LZYTETC26P1027788,是
宇通客车股份有限公司,ZK6745DX62,LZYTETC28P1027789,是
宇通客车股份有限公司,ZK6907H6Y,LZYTDTE68P1030632,是
宇通客车股份有限公司,ZK6907H6Y,LZYTDTE6XP1030633,是
宇通客车股份有限公司,6745DX62,LZYTETC24P1027790,是
宇通客车股份有限公司,6907H6Y,LZYTDTD66P1031859,是
宇通客车股份有限公司,6116H6Y1,LZYTBTE64P1030410,是
濮阳市飞翔房车实业有限公司,FXV5047XLKKKD3,LJXYADJ26MT022226,是
濮阳市飞翔房车实业有限公司,FXV5047XXCDS2,LNJ1BAA46NV602120,是
濮阳市飞翔房车实业有限公司,FXV5041XLJJX6,LJXYADF21PT032014,是
濮阳市飞翔房车实业有限公司,FXV5045XLJJX6,LJXYADJ21MT064643,是
濮阳市飞翔房车实业有限公司,FXV5044XLJNJ6,LNJ1BAA49PV401847,是
濮阳市飞翔房车实业有限公司,FXV5044XLJNJ6E,LNJ1BAA48PV402052,是
濮阳市飞翔房车实业有限公司,FXY5042XLJ,LJXYADJ26PT043226,是
濮阳市飞翔房车实业有限公司,FXV5045XLJJX6,LJXBHDJD4PT060688,是
濮阳市飞翔房车实业有限公司,NJ1046EFLC,LNJ1BAA49LVL02794,是
濮阳市飞翔房车实业有限公司,FXX5042XLJ,LJXYADJ25NT070317,是
濮阳市飞翔房车实业有限公司,FXV5047XLJJX6,LJXBHDJD6PT060689,是
濮阳市飞翔房车实业有限公司,JX5040XXYTJ8N6,LJXBHDJD2PT060690,是
凯达环境科技有限公司,HKD5045CCQEQ6,LGDCHA1GXPB101049,是
凯达环境科技有限公司,HKD5045CCQEQ6,LGDCHA1GXPB101042,是
凯达环境科技有限公司,HKD5160GXWEQ6,LGDXWB1L3PH104124,是
凯达环境科技有限公司,HKD5070TSDEQ6,LGDCPA1G0PB104285,是
河南须河车辆有限公司,HXC5084XGD6,LWLDABUG0PL054510,否
河南须河车辆有限公司,HXC5084XGC6,LWLDABUG3PL053917,否
河南须河车辆有限公司,MJ6526EDM,LNPHDTAG6PV901162,是
河南星辰汽车装备有限公司,GXC5045XLJ,LNJ1BAA43PV100426,是
河南星辰汽车装备有限公司,GXC5045XLJ,LNJ1BAA46PV600094,是
河南星辰汽车装备有限公司,GXC5043XLJ-D,LSFAL11A3PA093912,是
河南星辰汽车装备有限公司,GXC5043XLJ-D,LSFAL11A5PA093913,是
河南星辰汽车装备有限公司,GXC5045XLJ,LNJ1BAA44NVT01863,是
河南盛达专用车辆有限公司,SDM5042XCQ,LYTDAAB17PZ009320,是
河南盛达专用车辆有限公司,SDM5042XCQ,LYTDAAB17PZ009322,是
河南盛达专用车辆有限公司,SDM5310XCQ,LGAX5D655M9043757,是
河南盛达专用车辆有限公司,SDM5311XCQ,LGAX5D656N9M42310,是
河南盛达专用车辆有限公司,SDM5070GPSHFC6,LJ11KEBC8P8500059,是
河南盛达专用车辆有限公司,SDM20230927002LXJ,LYTDAAB15PZ009316,是
河南盛达专用车辆有限公司,DFH1310D,LGAX5D658M9045129,是
河南盛达专用车辆有限公司,SDM4432GPSHF22,LYTDAAB15NZ011239,是
河南路太养路机械股份有限公司,MN3-EE,LEFYEDG46NHN46154,是
河南路太养路机械股份有限公司,LTZ5040XJC,LSKG5GC16LA138454,是
河南路太养路机械股份有限公司,LTZ5120TYH,LGDCWA1L9PA101620,是
河南路太养路机械股份有限公司,LTZ5121HYH,LGHXLH4SXP6106896,是
河南路太养路机械股份有限公司,LTZ5080GQX6JL,LEFYEDK47PHN21662,是
河南路太养路机械股份有限公司,JX1083TK26,LEFYEDK46NHN41253,是
河南路太养路机械股份有限公司,LTZ5250G0XE6,LGHXLH4S2P6106892,是
河南路太养路机械股份有限公司,DFH1120B4,LGAX2A12XP9013355,是
河南莱茵汽车制造有限公司,JZS5036XSWD3,LB1WG3E13P8213883,是
河南华茂骏捷车辆有限公司,LHC5180XLCBJ6,LVBV6PDC3MW061205,是
河南华茂骏捷车辆有限公司,ZZ1187K501GF1,LZZ1BCKG9MN895734,是
河南鸿马实业有限公司,HMT5041XYBQ6,LJXBHDJE7PT060872,是
河南鸿马实业有限公司,HMT5034XKCQ6,LJXCL3DB6PT050235,是
河南新飞电器集团有限公司,XFC5040XLJ6C,LSFGL2167PD302207,是
河南新飞电器集团有限公司,XFC5040XQY6JW,LETYBDG2XPH027289,是
河南高远公路养护设备股份有限公司,HGY5186GLQ26,LZZ1BCHF4PE511510,是
